gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000148690,FRA10AC1,FRA10A associated CGG repeat 1,False,FRA10AC1
ENSG00000148700,ADD3,adducin 3,False,ADD3
ENSG00000148719,DNAJB12,DnaJ heat shock protein family (Hsp40) member B12,False,DNAJB12
ENSG00000148730,EIF4EBP2,eukaryotic translation initiation factor 4E binding protein 2,False,EIF4EBP2
ENSG00000148737,TCF7L2,transcription factor 7 like 2,False,TCF7L2
ENSG00000148773,MKI67,marker of proliferation Ki-67,False,MKI67
ENSG00000148798,INA,internexin neuronal intermediate filament protein alpha,False,INA
ENSG00000148803,FUOM,fucose mutarotase,False,FUOM
ENSG00000148814,LRRC27,leucine rich repeat containing 27,False,LRRC27
ENSG00000148824,MTG1,mitochondrial ribosome associated GTPase 1,False,MTG1
ENSG00000148832,PAOX,polyamine oxidase,False,PAOX
ENSG00000148834,GSTO1,glutathione S-transferase omega 1,False,GSTO1
ENSG00000148835,TAF5,TATA-box binding protein associated factor 5,False,TAF5
ENSG00000148840,PPRC1,PPARG related coactivator 1,False,PPRC1
ENSG00000148841,ITPRIP,"inositol 1,4,5-trisphosphate receptor interacting protein",False,ITPRIP
ENSG00000148842,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,False,CNNM2
ENSG00000148843,PDCD11,programmed cell death 11,False,PDCD11
ENSG00000148848,ADAM12,ADAM metallopeptidase domain 12,False,ADAM12
ENSG00000148908,RGS10,regulator of G protein signaling 10,False,RGS10
ENSG00000148925,BTBD10,BTB domain containing 10,False,BTBD10
ENSG00000148926,ADM,adrenomedullin,False,ADM
ENSG00000148935,GAS2,growth arrest specific 2,False,GAS2
ENSG00000148943,LIN7C,lin-7 cell polarity scaffold C,False,LIN7C
ENSG00000148948,LRRC4C,leucine rich repeat containing 4C,False,LRRC4C
ENSG00000148950,IMMP1L,inner mitochondrial membrane peptidase subunit 1,False,IMMP1L
ENSG00000148985,PGAP2,post-GPI attachment to proteins 2,False,PGAP2
ENSG00000149016,TUT1,"terminal uridylyl transferase 1, U6 snRNA-specific",False,TUT1
ENSG00000149050,ZNF214,zinc finger protein 214,False,ZNF214
ENSG00000149054,ZNF215,zinc finger protein 215,False,ZNF215
ENSG00000149084,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12,False,HSD17B12
ENSG00000149089,APIP,APAF1 interacting protein,False,APIP
ENSG00000149090,PAMR1,peptidase domain containing associated with muscle regeneration 1,False,PAMR1
ENSG00000149091,DGKZ,diacylglycerol kinase zeta,False,DGKZ
ENSG00000149100,EIF3M,eukaryotic translation initiation factor 3 subunit M,False,EIF3M
ENSG00000149115,CNOT12,CCR4-NOT transcription complex subunit 12,False,CNOT12
ENSG00000149131,SERPING1,serpin family G member 1,False,SERPING1
ENSG00000149136,SSRP1,structure specific recognition protein 1,False,SSRP1
ENSG00000149150,SLC43A1,solute carrier family 43 member 1,False,SLC43A1
ENSG00000149177,PTPRJ,protein tyrosine phosphatase receptor type J,False,PTPRJ
ENSG00000149179,CSTPP1,centriolar satellite-associated tubulin polyglutamylase complex regulator 1,False,CSTPP1
ENSG00000149182,ARFGAP2,ARF GTPase activating protein 2,False,ARFGAP2
ENSG00000149187,CELF1,CUGBP Elav-like family member 1,False,CELF1
ENSG00000149196,HIKESHI,heat shock protein nuclear import factor hikeshi,False,HIKESHI
ENSG00000149201,CCDC81,coiled-coil domain containing 81,False,CCDC81
ENSG00000149212,SESN3,sestrin 3,False,SESN3
ENSG00000149218,ENDOD1,endonuclease domain containing 1,False,ENDOD1
ENSG00000149231,CCDC82,coiled-coil domain containing 82,False,CCDC82
ENSG00000149243,KLHL35,kelch like family member 35,False,KLHL35
ENSG00000149256,TENM4,teneurin transmembrane protein 4,False,TENM4
ENSG00000149257,SERPINH1,serpin family H member 1,False,SERPINH1
ENSG00000149260,CAPN5,calpain 5,False,CAPN5
ENSG00000149262,INTS4,integrator complex subunit 4,False,INTS4
ENSG00000149269,PAK1,p21 (RAC1) activated kinase 1,False,PAK1
ENSG00000149273,RPS3,ribosomal protein S3,False,RPS3
ENSG00000149289,ZC3H12C,zinc finger CCCH-type containing 12C,False,ZC3H12C
ENSG00000149292,TTC12,tetratricopeptide repeat domain 12,False,TTC12
ENSG00000149308,NPAT,"nuclear protein, coactivator of histone transcription",False,NPAT
ENSG00000149311,ATM,ATM serine/threonine kinase,False,ATM
ENSG00000149313,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,False,AASDHPPT
ENSG00000149346,SLX4IP,SLX4 interacting protein,False,SLX4IP
ENSG00000149357,LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1",False,LAMTOR1
ENSG00000149380,P4HA3,prolyl 4-hydroxylase subunit alpha 3,False,P4HA3
ENSG00000149428,HYOU1,hypoxia up-regulated 1,False,HYOU1
ENSG00000149451,ADAM33,ADAM metallopeptidase domain 33,False,ADAM33
ENSG00000149474,KAT14,lysine acetyltransferase 14,False,KAT14
ENSG00000149476,TKFC,triokinase and FMN cyclase,False,TKFC
ENSG00000149480,MTA2,metastasis associated 1 family member 2,False,MTA2
ENSG00000149483,TMEM138,transmembrane protein 138,False,TMEM138
ENSG00000149485,FADS1,fatty acid desaturase 1,False,FADS1
ENSG00000149489,ROM1,retinal outer segment membrane protein 1,False,ROM1
ENSG00000149499,EML3,EMAP like 3,False,EML3
