gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000164742,ADCY1,ADCY1,adenylate cyclase 1,darkgrey,darkgrey,1
ENSG00000164743,C8orf48,C8orf48,chromosome 8 open reading frame 48,whitesmoke,whitesmoke,13
ENSG00000164751,PEX2,PEX2,peroxisomal biogenesis factor 2,dimgrey,dimgrey,4
ENSG00000164754,RAD21,RAD21,RAD21 cohesin complex component,darkgrey,darkgrey,1
ENSG00000164758,MED30,MED30,mediator complex subunit 30,dimgrey,dimgrey,4
ENSG00000164761,TNFRSF11B,TNFRSF11B,TNF receptor superfamily member 11b,darkgrey,darkgrey,1
ENSG00000164764,SBSPON,SBSPON,somatomedin B and thrombospondin type 1 domain containing,lightcoral,lightcoral,7
ENSG00000164808,SPIDR,SPIDR,scaffold protein involved in DNA repair,dimgrey,dimgrey,4
ENSG00000164815,ORC5,ORC5,origin recognition complex subunit 5,darkgrey,darkgrey,1
ENSG00000164818,DNAAF5,DNAAF5,dynein axonemal assembly factor 5,darkgrey,darkgrey,1
ENSG00000164823,OSGIN2,OSGIN2,oxidative stress induced growth inhibitor family member 2,dimgrey,dimgrey,4
ENSG00000164828,SUN1,SUN1,Sad1 and UNC84 domain containing 1,lightgrey,lightgrey,8
ENSG00000164830,OXR1,OXR1,oxidation resistance 1,brown,brown,0
ENSG00000164850,GPER1,GPER1,G protein-coupled estrogen receptor 1,lightgrey,lightgrey,8
ENSG00000164867,NOS3,NOS3,nitric oxide synthase 3,lightgrey,lightgrey,8
ENSG00000164877,MICALL2,MICALL2,MICAL like 2,darkgrey,darkgrey,1
ENSG00000164880,INTS1,INTS1,integrator complex subunit 1,darkgrey,darkgrey,1
ENSG00000164885,CDK5,CDK5,cyclin dependent kinase 5,darkgrey,darkgrey,1
ENSG00000164889,SLC4A2,SLC4A2,solute carrier family 4 member 2,brown,brown,0
ENSG00000164896,FASTK,FASTK,Fas activated serine/threonine kinase,darkgrey,darkgrey,1
ENSG00000164897,TMUB1,TMUB1,transmembrane and ubiquitin like domain containing 1,darkgrey,darkgrey,1
ENSG00000164898,FMC1,FMC1,formation of mitochondrial complex V assembly factor 1,darkgrey,darkgrey,1
ENSG00000164902,PHAX,PHAX,phosphorylated adaptor for RNA export,darkred,darkred,2
ENSG00000164904,ALDH7A1,ALDH7A1,aldehyde dehydrogenase 7 family member A1,dimgrey,dimgrey,4
ENSG00000164916,FOXK1,FOXK1,forkhead box K1,darkgrey,darkgrey,1
ENSG00000164919,COX6C,COX6C,cytochrome c oxidase subunit 6C,dimgrey,dimgrey,4
ENSG00000164920,OSR2,OSR2,odd-skipped related transciption factor 2,darkgrey,darkgrey,1
ENSG00000164924,YWHAZ,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,dimgrey,dimgrey,4
ENSG00000164929,BAALC,BAALC,BAALC binder of MAP3K1 and KLF4,indianred,indianred,6
ENSG00000164930,FZD6,FZD6,frizzled class receptor 6,indianred,indianred,6
ENSG00000164932,CTHRC1,CTHRC1,collagen triple helix repeat containing 1,darkgrey,darkgrey,1
ENSG00000164934,DCAF13,DCAF13,DDB1 and CUL4 associated factor 13,dimgrey,dimgrey,4
ENSG00000164938,TP53INP1,TP53INP1,tumor protein p53 inducible nuclear protein 1,dimgrey,dimgrey,4
ENSG00000164941,INTS8,INTS8,integrator complex subunit 8,dimgrey,dimgrey,4
ENSG00000164944,VIRMA,VIRMA,vir like m6A methyltransferase associated,brown,brown,0
ENSG00000164949,GEM,GEM,GTP binding protein overexpressed in skeletal muscle,dimgrey,dimgrey,4
ENSG00000164951,PDP1,PDP1,pyruvate dehydrogenase phosphatase catalytic subunit 1,indianred,indianred,6
ENSG00000164953,TMEM67,TMEM67,transmembrane protein 67,lightgrey,lightgrey,8
ENSG00000164961,WASHC5,WASHC5,WASH complex subunit 5,dimgrey,dimgrey,4
ENSG00000164967,RPP25L,RPP25L,ribonuclease P/MRP subunit p25 like,dimgrey,dimgrey,4
