gene_id,dynamic_module,module,module_label
ENSG00000106615,dimgrey,dimgrey,4
ENSG00000106617,indianred,indianred,6
ENSG00000106624,dimgrey,dimgrey,4
ENSG00000106628,whitesmoke,whitesmoke,13
ENSG00000106633,brown,brown,0
ENSG00000106635,dimgrey,dimgrey,4
ENSG00000106636,darkgrey,darkgrey,1
ENSG00000106638,dimgrey,dimgrey,4
ENSG00000106665,darkgrey,darkgrey,1
ENSG00000106682,dimgrey,dimgrey,4
ENSG00000106683,dimgrey,dimgrey,4
ENSG00000106686,darkgrey,darkgrey,1
ENSG00000106688,lightgrey,lightgrey,8
ENSG00000106692,dimgrey,dimgrey,4
ENSG00000106701,snow,snow,12
ENSG00000106723,darkgrey,darkgrey,1
ENSG00000106733,dimgrey,dimgrey,4
ENSG00000106771,dimgrey,dimgrey,4
ENSG00000106772,whitesmoke,whitesmoke,13
ENSG00000106780,indianred,indianred,6
ENSG00000106785,whitesmoke,whitesmoke,13
ENSG00000106789,lightgrey,lightgrey,8
ENSG00000106799,dimgrey,dimgrey,4
ENSG00000106803,dimgrey,dimgrey,4
ENSG00000106804,brown,brown,0
ENSG00000106829,dimgrey,dimgrey,4
ENSG00000106853,dimgrey,dimgrey,4
ENSG00000106868,dimgrey,dimgrey,4
ENSG00000106948,lightgrey,lightgrey,8
ENSG00000106976,snow,snow,12
ENSG00000106991,dimgrey,dimgrey,4
ENSG00000106992,darkgrey,darkgrey,1
ENSG00000106993,dimgrey,dimgrey,4
ENSG00000107020,dimgrey,dimgrey,4
ENSG00000107021,darkgrey,darkgrey,1
ENSG00000107036,dimgrey,dimgrey,4
ENSG00000107077,indianred,indianred,6
ENSG00000107104,indianred,indianred,6
ENSG00000107130,darkgrey,darkgrey,1
ENSG00000107140,dimgrey,dimgrey,4
ENSG00000107164,darkgrey,darkgrey,1
ENSG00000107175,darkgrey,darkgrey,1
ENSG00000107185,dimgrey,dimgrey,4
ENSG00000107186,lightgrey,lightgrey,8
ENSG00000107201,darkgrey,darkgrey,1
ENSG00000107223,whitesmoke,whitesmoke,13
ENSG00000107249,darkgrey,darkgrey,1
ENSG00000107262,dimgrey,dimgrey,4
ENSG00000107263,darkgrey,darkgrey,1
ENSG00000107281,darkgrey,darkgrey,1
ENSG00000107290,dimgrey,dimgrey,4
ENSG00000107317,darkgrey,darkgrey,1
ENSG00000107331,darkgrey,darkgrey,1
ENSG00000107338,whitesmoke,whitesmoke,13
ENSG00000107341,darkgrey,darkgrey,1
ENSG00000107362,darkgrey,darkgrey,1
ENSG00000107371,dimgrey,dimgrey,4
ENSG00000107372,dimgrey,dimgrey,4
ENSG00000107404,darkgrey,darkgrey,1
ENSG00000107438,darkgrey,darkgrey,1
ENSG00000107443,red,red,11
ENSG00000107485,indianred,indianred,6
ENSG00000107518,whitesmoke,whitesmoke,13
ENSG00000107521,darkgrey,darkgrey,1
ENSG00000107537,dimgrey,dimgrey,4
ENSG00000107551,darkgrey,darkgrey,1
ENSG00000107554,darkgrey,darkgrey,1
ENSG00000107560,lightgrey,lightgrey,8
ENSG00000107562,dimgrey,dimgrey,4
ENSG00000107566,darkgrey,darkgrey,1
ENSG00000107581,darkred,darkred,2
ENSG00000107611,snow,snow,12
ENSG00000107614,darkgrey,darkgrey,1
ENSG00000107625,lightgrey,lightgrey,8
ENSG00000107643,dimgrey,dimgrey,4
ENSG00000107651,darkgrey,darkgrey,1
ENSG00000107669,snow,snow,12
ENSG00000107672,dimgrey,dimgrey,4
ENSG00000107679,darkgrey,darkgrey,1
ENSG00000107731,darkgrey,darkgrey,1
ENSG00000107738,brown,brown,0
ENSG00000107745,dimgrey,dimgrey,4
ENSG00000107758,indianred,indianred,6
ENSG00000107771,dimgrey,dimgrey,4
ENSG00000107779,dimgrey,dimgrey,4
ENSG00000107789,dimgrey,dimgrey,4
ENSG00000107796,lightgrey,lightgrey,8
ENSG00000107798,dimgrey,dimgrey,4
ENSG00000107815,dimgrey,dimgrey,4
ENSG00000107816,dimgrey,dimgrey,4
ENSG00000107819,darkgrey,darkgrey,1
ENSG00000107821,whitesmoke,whitesmoke,13
ENSG00000107829,indianred,indianred,6
ENSG00000107833,darkgrey,darkgrey,1
ENSG00000107854,indianred,indianred,6
ENSG00000107862,dimgrey,dimgrey,4
ENSG00000107863,darkred,darkred,2
ENSG00000107864,dimgrey,dimgrey,4
ENSG00000107872,darkgrey,darkgrey,1
