gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000166851,PLK1,polo like kinase 1,MC1_vs_CTR,218.0474246819525,-1.2840886666682805,0.3343979270693277,-3.8400018741804622,0.0001230333711114,0.002453563878862,True,up_in_CTR,dimgrey,dimgrey,10,1.2840886666682805,True,True,down_in_tested,PLK1
ENSG00000169221,TBC1D10B,TBC1 domain family member 10B,MC1_vs_CTR,193.0491506428542,-1.0992687584871674,0.2879872515270874,-3.817074376237703,0.0001350434707165,0.0026542654265845,True,up_in_CTR,dimgrey,dimgrey,10,1.0992687584871674,True,True,down_in_tested,TBC1D10B
ENSG00000148296,SURF6,surfeit 6,MC1_vs_CTR,125.32604362624112,1.586395622448881,0.4216418354243773,3.762424620062176,0.0001682740346336,0.0031417025535102,True,up_in_MC1,dimgrey,dimgrey,10,1.586395622448881,True,True,up_in_tested,SURF6
ENSG00000165490,DDIAS,DNA damage induced apoptosis suppressor,MC1_vs_CTR,125.34712335077911,-1.3836523753678849,0.370651834323196,-3.733024491553943,0.0001891941900653,0.0034106301277961,True,up_in_CTR,dimgrey,dimgrey,10,1.3836523753678849,True,True,down_in_tested,DDIAS
ENSG00000188229,TUBB4B,tubulin beta 4B class IVb,MC1_vs_CTR,755.9462893417407,-1.198119843995626,0.3221264671322445,-3.719408264281974,0.0001996900561581,0.0035262242023024,True,up_in_CTR,dimgrey,dimgrey,10,1.198119843995626,True,True,down_in_tested,TUBB4B
ENSG00000103043,VAC14,VAC14 component of PIKFYVE complex,MC1_vs_CTR,191.5653233022116,-1.1930467282300423,0.3216412885044881,-3.709246203362959,0.0002078772143552,0.0036264701729215,True,up_in_CTR,dimgrey,dimgrey,10,1.1930467282300423,True,True,down_in_tested,VAC14
ENSG00000288722,F8A1,coagulation factor VIII associated 1,MC1_vs_CTR,220.54545447991896,-1.2433064953548958,0.3409042874301964,-3.64708377453151,0.0002652334681952,0.0043459032217566,True,up_in_CTR,dimgrey,dimgrey,10,1.2433064953548958,True,True,down_in_tested,F8A1
ENSG00000162341,TPCN2,two pore segment channel 2,MC1_vs_CTR,228.74472600907907,1.0637525402585708,0.2932201310282615,3.6278291552773454,0.0002858142780599,0.0045518036509024,True,up_in_MC1,darkgrey,darkgrey,7,1.0637525402585708,True,True,up_in_tested,TPCN2
ENSG00000118181,RPS25,ribosomal protein S25,MC1_vs_CTR,2166.456982979321,-1.4388104614003872,0.396606104004603,-3.6278071539304606,0.0002858386281444,0.0045518036509024,True,up_in_CTR,dimgrey,dimgrey,10,1.4388104614003872,True,True,down_in_tested,RPS25
ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,MC1_vs_CTR,502.2321048088789,-1.2723490989366657,0.3545942352321383,-3.5881832599554544,0.0003329902087357,0.0050891512432444,True,up_in_CTR,dimgrey,dimgrey,10,1.2723490989366657,True,True,down_in_tested,NDUFA6
ENSG00000113597,TRAPPC13,trafficking protein particle complex subunit 13,MC1_vs_CTR,117.01432637919736,-1.3283576200476297,0.3736418080901623,-3.555163237319224,0.0003777444930976,0.005575767004954,True,up_in_CTR,dimgrey,dimgrey,10,1.3283576200476297,True,True,down_in_tested,TRAPPC13
ENSG00000148291,SURF2,surfeit 2,MC1_vs_CTR,178.0420481938472,-1.092876385416324,0.3104157305691604,-3.52068622106389,0.0004304316352473,0.0061030823815447,True,up_in_CTR,dimgrey,dimgrey,10,1.092876385416324,True,True,down_in_tested,SURF2
ENSG00000105700,KXD1,KxDL motif containing 1,MC1_vs_CTR,128.87865023119704,-1.2879226107558135,0.3680141673866631,-3.499654972257157,0.0004658607212936,0.0064782376096843,True,up_in_CTR,dimgrey,dimgrey,10,1.2879226107558135,True,True,down_in_tested,KXD1
ENSG00000164751,PEX2,peroxisomal biogenesis factor 2,MC1_vs_CTR,178.950988456592,-1.0894840646845765,0.3132877745197316,-3.4775824443030032,0.0005059574270161,0.0069128835162734,True,up_in_CTR,mistyrose,mistyrose,17,1.0894840646845765,True,True,down_in_tested,PEX2
ENSG00000138061,CYP1B1,cytochrome P450 family 1 subfamily B member 1,MC1_vs_CTR,1435.8065860614577,1.0345654826043371,0.301846907881669,3.4274509878693573,0.0006092762769486,0.0077597354741171,True,up_in_MC1,dimgrey,dimgrey,10,1.0345654826043371,True,True,up_in_tested,CYP1B1
ENSG00000162852,CNST,"consortin, connexin sorting protein",MC1_vs_CTR,203.86538759377007,-1.0290662248753188,0.3005725796203544,-3.4236863062329443,0.0006177788878955,0.0078448833779088,True,up_in_CTR,dimgrey,dimgrey,10,1.0290662248753188,True,True,down_in_tested,CNST
ENSG00000156469,MTERF3,mitochondrial transcription termination factor 3,MC1_vs_CTR,112.78747990330052,-1.13174603124171,0.3336181166594055,-3.3923398482496747,0.0006929842967247,0.0084998855145146,True,up_in_CTR,dimgrey,dimgrey,10,1.13174603124171,True,True,down_in_tested,MTERF3
ENSG00000174939,ASPHD1,aspartate beta-hydroxylase domain containing 1,MC1_vs_CTR,119.54697217903056,1.0762080124027162,0.3219884416197229,3.3423808848199186,0.0008306299697858,0.0097134169325566,True,up_in_MC1,dimgrey,dimgrey,10,1.0762080124027162,True,True,up_in_tested,ASPHD1
ENSG00000100764,PSMC1,"proteasome 26S subunit, ATPase 1",MC1_vs_CTR,3169.6151422275148,1.1640042862175892,0.351353909085963,3.312911159137841,0.0009233030337131,0.0105328279071967,True,up_in_MC1,gainsboro,gainsboro,12,1.1640042862175892,True,True,up_in_tested,PSMC1
ENSG00000204520,MICA,MHC class I polypeptide-related sequence A,MC1_vs_CTR,90.67025417554204,-1.295886262855316,0.391422404124903,-3.3107104989365874,0.0009305943045796,0.010559371642635,True,up_in_CTR,dimgrey,dimgrey,10,1.295886262855316,True,True,down_in_tested,MICA
ENSG00000161970,RPL26,ribosomal protein L26,MC1_vs_CTR,3058.7238973352446,-1.1420405243719616,0.3459885273995025,-3.300804604579509,0.0009640799881628,0.0108537557989392,True,up_in_CTR,dimgrey,dimgrey,10,1.1420405243719616,True,True,down_in_tested,RPL26
ENSG00000184009,ACTG1,actin gamma 1,MC1_vs_CTR,170.77545843947095,-1.0386821292103652,0.3147500479069436,-3.300022148106085,0.0009667719842767,0.0108668585678218,True,up_in_CTR,dimgrey,dimgrey,10,1.0386821292103652,True,True,down_in_tested,ACTG1
ENSG00000180155,LYNX1,Ly6/neurotoxin 1,MC1_vs_CTR,121.3858212519886,1.0246887029076206,0.3105366412588796,3.2997352542799816,0.0009677607688077,0.0108668585678218,True,up_in_MC1,darkgrey,darkgrey,7,1.0246887029076206,True,True,up_in_tested,LYNX1
ENSG00000198324,PHETA1,PH domain containing endocytic trafficking adaptor 1,MC1_vs_CTR,138.876496878903,1.2601659855914034,0.3821682371531459,3.2974116189735003,0.0009758037973169,0.0109087637252166,True,up_in_MC1,darkgrey,darkgrey,7,1.2601659855914034,True,True,up_in_tested,PHETA1
ENSG00000137103,TMEM8B,transmembrane protein 8B,MC1_vs_CTR,191.2032851635292,1.1203084127603438,0.3417475500466659,3.2781754034736017,0.0010448045079169,0.0114004746283514,True,up_in_MC1,darkgrey,darkgrey,7,1.1203084127603438,True,True,up_in_tested,TMEM8B
ENSG00000105373,NOP53,NOP53 ribosome biogenesis factor,MC1_vs_CTR,238.72492742688348,-1.0686649685548617,0.3271432556746567,-3.266657496426112,0.0010882525521615,0.0117463259848939,True,up_in_CTR,dimgrey,dimgrey,10,1.0686649685548617,True,True,down_in_tested,NOP53
ENSG00000090006,LTBP4,latent transforming growth factor beta binding protein 4,MC1_vs_CTR,174.9364323993019,1.1079207597148513,0.3403799998962443,3.254952582562345,0.0011341129936407,0.0120902045680102,True,up_in_MC1,dimgrey,dimgrey,10,1.1079207597148513,True,True,up_in_tested,LTBP4
ENSG00000185338,SOCS1,suppressor of cytokine signaling 1,MC1_vs_CTR,138.75188921005176,1.048790963764212,0.3230009153628783,3.2470216457001,0.0011661952002957,0.0123408033756783,True,up_in_MC1,darkgrey,darkgrey,7,1.048790963764212,True,True,up_in_tested,SOCS1
ENSG00000175137,SH3BP5L,SH3 binding domain protein 5 like,MC1_vs_CTR,2125.071458533305,1.0893657432741473,0.3361344655073729,3.240862973184916,0.0011916845161069,0.0125490192641266,True,up_in_MC1,darkgrey,darkgrey,7,1.0893657432741473,True,True,up_in_tested,SH3BP5L
ENSG00000143870,PDIA6,protein disulfide isomerase family A member 6,MC1_vs_CTR,697.1733206252165,1.3214278396151544,0.4079739476049348,3.239000547394685,0.0011994934325892,0.0126158657617641,True,up_in_MC1,gainsboro,gainsboro,12,1.3214278396151544,True,True,up_in_tested,PDIA6
ENSG00000170846,MRFAP1L2,Morf4 family associated protein 1 like 2,MC1_vs_CTR,93.59749713230262,-1.455408698496807,0.4550321097977234,-3.1984747167486347,0.0013815664704964,0.0141852871257277,True,up_in_CTR,dimgrey,dimgrey,10,1.455408698496807,True,True,down_in_tested,MRFAP1L2
ENSG00000100330,MTMR3,myotubularin related protein 3,MC1_vs_CTR,97.66772356731788,1.1744285131550471,0.3678092498089963,3.1930369172741817,0.0014078494648323,0.0143697164643353,True,up_in_MC1,darkgrey,darkgrey,7,1.1744285131550471,True,True,up_in_tested,MTMR3
ENSG00000123496,IL13RA2,interleukin 13 receptor subunit alpha 2,MC1_vs_CTR,111.0483539496236,-1.2470474244090817,0.3938166079334488,-3.1665689036147007,0.0015424879841812,0.0152944970091716,True,up_in_CTR,dimgrey,dimgrey,10,1.2470474244090817,True,True,down_in_tested,IL13RA2
ENSG00000288701,PRRC2B,proline rich coiled-coil 2B,MC1_vs_CTR,139.4425731969325,1.3353203907439384,0.4268579405351357,3.1282547750427168,0.0017584768057642,0.0167413971530039,True,up_in_MC1,darkgrey,darkgrey,7,1.3353203907439384,True,True,up_in_tested,PRRC2B
ENSG00000134255,CEPT1,choline/ethanolamine phosphotransferase 1,MC1_vs_CTR,234.79362281594183,1.0232722432561443,0.3284457614618147,3.115498396757696,0.0018363434692187,0.0173298643242664,True,up_in_MC1,gainsboro,gainsboro,12,1.0232722432561443,True,True,up_in_tested,CEPT1
